proposal_created_by,5feimx18jM2hK2rvZnQHRsjhSeCkHAiLeQZDuJkU2fPc
proposal_created_timestamp,1773772932
proposal_created_iso,2026-03-17T18:42:12.000Z
proposal_lifecycle_status,Voting in progress
proposal_lifecycle_updated_timestamp,1773775332
proposal_lifecycle_updated_iso,2026-03-17T19:22:12.000Z
voting_start_timestamp,1773772920
voting_start_iso,2026-03-17T18:42:00.000Z
voting_end_timestamp,1773776520
voting_end_iso,2026-03-17T19:42:00.000Z
proposal_title,terza votazione di test
proposal_description,seleziona l'opzione che preferisci
proposal_options,Opzione A | Opzione B | Opzione C
torrino_participation_rate,5.4%
solnauta_participation_rate,1.5%
total_voting_power_participation_rate,4.8%

wallet,solnauta_nfts,torrino_nfts,Opzione A,Opzione B,Opzione C,voting_power,timestamp,signed_message,signature
7QhxEMfvPeGdiKNzduaXWW8e81NKagFMQrfYJtejmMb6,9taRMkivY3URdyqPwBa2AfEsPt5vvhNqMdBundPSAA7m,,0.0,0.1,0.0,0.1,1773772956,Torrino DAO governance vote:Opzione B:wallet:7QhxEMfvPeGdiKNzduaXWW8e81NKagFMQrfYJtejmMb6:timestamp:1773772955016,41RLXzxoNHvwtyuhQXcvmUTVAMaXiGtsnFHQBxUVxVNnPhM2CPsGVto6SmNfYxvxM5dtt7n2gGqTGp38fFbJYerR
85jTBVsk8sDA35LocJdTh41EN2Eep59RQ1jUw9EExsCw,22nYjuJhonLHSnLaZzoCFuJoEPr2Sh2TUEeLDXBgAZ39,DmBFZuqmb6TvSrbm8b3vbwwpddpBcU5PNefwfrNcBpjv,0.0,0.0,1.0,1.0,1773772997,Torrino DAO governance vote:Opzione C:wallet:85jTBVsk8sDA35LocJdTh41EN2Eep59RQ1jUw9EExsCw:timestamp:1773772996067,23p5xMjWEA8b7pqyfvdMSCPsg62KdPnzSEZTBz7oQrJF3Rr4kdTUy8hdwiBn5Cug2BfqquP85a7EXj5s2HNQqW2j
CRNmckzM59K3AYUUob3s78boZB1NtzmNBrtuy4bMyCx4,,"HD5ure7NaEQyRJxbxtZkc3VPYNxfi6TDgwhEKbr1jbeX
Fp3aVdSYRHo2rYzzPyHrwhTpPrUgebFXi6UMXrrQdrUb
EP1FgYmz9921ABNJd2ni1nYwKYY7fFTsKG9BBSQZea1G
EGb87cKW7Hjz3ocTuH2qY2vkRX9MECqEVJApYibgezLD
Dm4XG1kbkrwdnpQDnzt3JZnSa7sSaM97xHEDTN6ekuxA
BEKBoE7Pza26qMw46rn9wrqw1szB1nAvunzYgZU627NV
Aunsb3VeUHDESkb7N4WpmaWepw6qbyWxdF68fo26TGT7
AUingCcSRow8vsf9H3BNZuTeAnE6mcULyNFCXcUKAnpT
AGWdKFNS6PTxurXjmtvEyaGSx3qb5wssZAzNrawe1pLa
8EXkpgj3JeB1uug91YSMof9MrjgjYySnYU6ZjN2AhHHm
7AsMNFXafvKypfBQYB8Fiju436YcV2ACy1EAQkBVx3bu
6ALqxRCAivM48moD1B5PNWseR2AdSsMuCkjwMkFcYc3y
5nrMzZZXCEsP3qcUJcCmW1MnHbGynDkwETB6fy4dnuWR
53hWi1wE2w6PwHhFLbDoKPhsXqtWoVYvXYCh9avVGpG9
4tud74UZG1XjDYPupF1cKYpYiNTkeY4V4y9jDFmnW5U6
3yHCJXqmnPHFSUZQJrVLUtXFmLqhk3kjxciGGBEkzgRu
3c3ujCi33Tu5hjVAmPwNMZES4sdhyzovCkqPLc4YjnXh
3bMTDDbZJSGhSK2Lx3P3UC4EEvzoEDrHSbVvbq2847KQ
2WdbQFLfvq3nAi4DMrGndTxTKtM1g7QgzWJVbPJpPXKZ
8PSCY9Q7msUXm7coGGL9NcQbq5uL51scqrMJw3pjd9o",0.0,18.0,0.0,18.0,1773773120,Torrino DAO governance vote:Opzione B:wallet:CRNmckzM59K3AYUUob3s78boZB1NtzmNBrtuy4bMyCx4:timestamp:1773773109177,2KLv2wsV563kCBU2GhKnfn91Ho7XBK4FmpLkYL9cFpFVE89MzqxFdkDwuNjrTDR2SRUXyyPc6DVsr7pf2twoA4Uz
3JGGLwYcwfpbsZJBcSnkYFPmdu9dpY1jffebpY62a9Ly,"Eu1L5MNoWQxi6zHKsEz378GSwRz9dkYwN8bYkSGs98Y6
7hEPdv2PE86ZoPbXPtBqq7pLaG3hg2Jnn8nMwp27ersE
4LN732WE4T4x1ZKjHoufztdfeYQGT2DRZio7AVPcmnvZ","JAWqkL2KXiDGGqJQZSFQRknk59Qd45CCjBgyABGXbzTt
Hzrrgx7vPybwKrfPLXwrzijkuE4HQv7JxMEtKfaC3edj
H7Tw5sosgLf4UusPBHEHC5om3Nyr9Ne791sLbahE2TfX",3.0,0.0,0.0,3.0,1773773466,Torrino DAO governance vote:Opzione A:wallet:3JGGLwYcwfpbsZJBcSnkYFPmdu9dpY1jffebpY62a9Ly:timestamp:1773773464121,2Kg9ikEWFbNMaGhN4DERX4PvAzra3dvkRemP3ohfuxxiuowiihUXoekCZAjLZGjnJW6jGpFPs3Mdsb9KUXqVo4MW
4UQ2ERKrBxPCjr8Q6x9in4SACxHxCkGYXvFRYFLXTuXa,"HGremmXbcnLARiQaUFxc2qUNhTHLduunkE6YhVB1UXK6
EoMcvZaGjBjYqYVf5Vt7KnEU4SCc5UXJw91V9QoivRPK
DgLN1f4NF8TAoDPwGp75gZime4PREXTE46stcwRxynGH
C8GPvixTBQY9SH4apDUQVBWTkgsRrXbfYstbzCHVKEru
3cSDo8j9bEqYmwQSDfbKEoZCXJKM4j3dyQTSZpbQcJJb
Qpx3BEDGcStRecFpAtsDrjQcuPdNw2gZn2NymRfQGt4","Gem5BCeAbLVYB1BZ6AeaSRg7Z7QHKkbL9cAjDve74By1
9CJfpxrLWhUAbvA2aKXyL1cfntKbTFpE74GD8aaDa91m",0.0,2.4,0.0,2.4,1773773481,Torrino DAO governance vote:Opzione B:wallet:4UQ2ERKrBxPCjr8Q6x9in4SACxHxCkGYXvFRYFLXTuXa:timestamp:1773773480154,493sL93Ss1wxNLvMmaP1mS8amwwEE28uPss6wvTUNuhV3t5dqgf6bmKBxF8RD4GEsSDPGU8tTZiEVFmA4iFJ2Zbb
9JhxpHoU2VZBZP7ThKLKjaEvfv59GKCWaPrgabsJsKvT,"EKqP4zGpSFSuzwcyBk7cxNdCJ9cVCoTy1jtw7d4fFEWo
yoqTvYr2SVDvy5733TvjfsJaUu3uJsaNBNukAPant6U",BfKEDNk1mtdr5e4QXNUvWBfKjdx9dqMsNkcxrUf4FCwn,0.0,1.1,0.0,1.1,1773775207,Torrino DAO governance vote:Opzione B:wallet:9JhxpHoU2VZBZP7ThKLKjaEvfv59GKCWaPrgabsJsKvT:timestamp:1773775197911,5kTqAUdZE57XGZWVDz5SLiriUcdvGrXtoy3mNmgw6dKXBUm9reLePXJiCm8w88bSupU5feSkRibCJus4uc5zePFm
