proposal_created_by,5feimx18jM2hK2rvZnQHRsjhSeCkHAiLeQZDuJkU2fPc
proposal_created_timestamp,1773860275
proposal_created_iso,2026-03-18T18:57:55.000Z
proposal_lifecycle_status,Voting in progress
proposal_lifecycle_updated_timestamp,1774042800
proposal_lifecycle_updated_iso,2026-03-20T21:40:00.000Z
voting_start_timestamp,1773860400
voting_start_iso,2026-03-18T19:00:00.000Z
voting_end_timestamp,1774130400
voting_end_iso,2026-03-21T22:00:00.000Z
proposal_title,APPOINTMENT OF THE NEW GOVERNANCE COUNCIL
proposal_description,"1. Eugenio Benetazzo | @EugenioBenetazo
2. Andrea Savoca Corona | @ASavocaCorona
3. Manuel Rosa | @Happy
4. Andrea Ferrari | @andy_ferrucci
5. Gabriele Fejza | @Gabriele
6. Francesco Cappellani | @xuxien
7. Enrico De Turris | @mr.vinyl"
CiVp6EP6Wk595nPmBFphbzZdi3x4cHE3Vc16SCWkDQZN,"HjrDPku5MgLvdgeEDoqjrqCY4XBFF9GPh5h7SkPahVDu
G5Fb1RUY6b9Me5tVdJb97R9UySpCBqhPszbj5FhsFkZa
G2rYcCHtCEvQhUbR7wY38FdDLi5MQotUwT4imJVpaf5G
EeB7afxNKojzUxQTgTEZCTqYTnqNd3ic8ANQQPiwxGMe
CNMC3Vo2ALrA7iaKbvsZWDMeMSK1NPD33DTYzqxnKmnh
9XUD1GvDR3S4iqK6hJWwg8qrvgz6PwoNVWc9YU7aJ3ax
7utoNDLauzQPwnC2ibEnZkkp5f9FEbkmvA7xqTm8uqGE
49KTvGWQD4XumFBomrtWYY7BxA8yhZ1JQawKZad8jyo3
2zS3b9Y3WkBuS1Kh37yBoxJyiuxpXV2B4p5XDz3LrT3V","BMf76ZRFdkk3pYVL1h3AapyD2odWv16X9NKR9T66bXQM
BB4qyn1kpD9rP32nJjCMsQuJj3AqAaS26czHFYL4dZ4V
6wtkA4LMQ5dYoGbZt1vgFdTXSqWoRPccdMQasD8sJxz7
6pByNt3B7cwePhH57j63DWpwwMEXKqY8wZdkbc9zhGn2
3oNR2YSJZLbhfLKfWcAkkkV1h6FaXUKmjbZPv8JB9fxB",5.4,0.0,5.4,1773860803,Torrino DAO governance vote:FAVOREVOLE:wallet:CiVp6EP6Wk595nPmBFphbzZdi3x4cHE3Vc16SCWkDQZN:timestamp:1773860794753,4dEmeD8pya3Bws2S1FFTLcZht5iH1MZeMv72v82XPG5nATkF6jcEECoitqEKbzocYHYxov1AFg5L7SGadvzkiGXo
BrEBJRcp7db5vUPo2XYgo8BujD452hTciYXg1Esm4JTL,CeLMwd8CNPzv2x336CALtABrjjmLvsKk74Q4D61VtStj,GUTQcDi4r9zfGUWW9qyuh11knShTdkX9Sy6vaFqYrjtB,1.0,0.0,1.0,1773860906,Torrino DAO governance vote:FAVOREVOLE:wallet:BrEBJRcp7db5vUPo2XYgo8BujD452hTciYXg1Esm4JTL:timestamp:1773860901671,4xewPekeiYgdNgxi7izaAd8cceW5BeZJ5rL2MtX6CJjZwiuLP3hgFUqEjQRZNG49ffkWRHZpDptDorezWF3pw9nL
4UQ2ERKrBxPCjr8Q6x9in4SACxHxCkGYXvFRYFLXTuXa,"HGremmXbcnLARiQaUFxc2qUNhTHLduunkE6YhVB1UXK6
EoMcvZaGjBjYqYVf5Vt7KnEU4SCc5UXJw91V9QoivRPK
DgLN1f4NF8TAoDPwGp75gZime4PREXTE46stcwRxynGH
C8GPvixTBQY9SH4apDUQVBWTkgsRrXbfYstbzCHVKEru
3cSDo8j9bEqYmwQSDfbKEoZCXJKM4j3dyQTSZpbQcJJb
Qpx3BEDGcStRecFpAtsDrjQcuPdNw2gZn2NymRfQGt4","Gem5BCeAbLVYB1BZ6AeaSRg7Z7QHKkbL9cAjDve74By1
9CJfpxrLWhUAbvA2aKXyL1cfntKbTFpE74GD8aaDa91m",2.4,0.0,2.4,1773860925,Torrino DAO governance vote:FAVOREVOLE:wallet:4UQ2ERKrBxPCjr8Q6x9in4SACxHxCkGYXvFRYFLXTuXa:timestamp:1773860921730,2JarBr5jWrAiAvnYphos8Fe14cvS9TdmgarWt8HrncuDmXmsDnyzGTtNsa9sUJF1fTCLSBBrnhSkEyEzpvBJk4Ht
CGwtdCXSk1qrfZMF3Vbbc5B2BSPKsTdZ3MiBVPzgALmv,GbeLH6ukCuKh6L8ACvCoeP8EU16SYf97bn5nnZMdUgxw,2YwkxwJHFcScbEarjycz4CqbHoBEJsYEVgSTp35FhQZt,1.0,0.0,1.0,1773860928,Torrino DAO governance vote:FAVOREVOLE:wallet:CGwtdCXSk1qrfZMF3Vbbc5B2BSPKsTdZ3MiBVPzgALmv:timestamp:1773860890580,2r6BF9kzJRVjmzGjXPH8SgGVBwAybp6izFq43SxUUKGW6unxAfMeHfThKTGUoSZQ1Th5u4m4BuPnHFDsBXvA73CZ
GoiiAE4wZXJfBuLbKnLqt422cieF9cpsqWZCu4Z4ry6F,61EKDkuwpyW7F8PFeNJfx7guK5J1sJjS3tc6qQsBjnxm,,0.1,0.0,0.1,1773861025,Torrino DAO governance vote:FAVOREVOLE:wallet:GoiiAE4wZXJfBuLbKnLqt422cieF9cpsqWZCu4Z4ry6F:timestamp:1773861022303,3xvQYT14Wkag4nKHF8NCyeL4YBPJ2gWN8YSuEeyLBNomQ12BmkTvr1mvcjoZBNKiigDoer8saQKB5KR5Y1dCCVCk
5JLUCo2WJtgrUXmGXoXVm6a2L6RJzVz5rnn91kcLQfjg,3K573Qgp6Nd1n5u2BNPM4Zef5RjL8U7dXAA6s4nW1X1V,6Fa9xE37ueHU3iB55a5dmKnQVgXaWGRXqGCh2XYaRn6v,1.0,0.0,1.0,1773861043,Torrino DAO governance vote:FAVOREVOLE:wallet:5JLUCo2WJtgrUXmGXoXVm6a2L6RJzVz5rnn91kcLQfjg:timestamp:1773861041613,3eN3NSiRukqiBH8gLQ3ggV1xwQ2uomactAwxQYze1Ujna1WyZtY1TS1LSw88cwa14CrdTv3iqYGvoXsK61cVawcx
CGy4SHA8szNLAfWSRBJcVweJhXsn9hahpkHp7F5wM5rW,FcfatrHWdULaCoUHgMSUjhwoEUAPJfGVmKQ4pC5LkAhh,,0.1,0.0,0.1,1773861139,Torrino DAO governance vote:FAVOREVOLE:wallet:CGy4SHA8szNLAfWSRBJcVweJhXsn9hahpkHp7F5wM5rW:timestamp:1773861133922,2a7AJvUDvCW1DcRHqxapR2ztf9qr93WttKm3LKRwGjrgmbDroCcMcjxaQg6h1i8Q9wiW9Fejb88Vc9Gigt4EtoCh
GXerAK7bX5WaeBW7PWqJ7LAqz5ynaZE1YYNgWNXbgkUv,48p8zAM53mxcHgt56nZuD5SerCH8vvZEJqYVuxc2tzLW,,0.1,0.0,0.1,1773861181,Torrino DAO governance vote:FAVOREVOLE:wallet:GXerAK7bX5WaeBW7PWqJ7LAqz5ynaZE1YYNgWNXbgkUv:timestamp:1773861178834,5i9FGHS18nvYeXFqLbLP6Jf6dsgqTXtCHRgTaoCyyBvhcNoLMtnx4PwWK52hcqF8uvTUystKhGS5nFDCQw8hzDt5
8FL9SvhuvntoJJ5uq9uN7NLVU7qmDG2fAtoW1nGVMV7D,9chFskvDr4YhJKuvVoh6Qq7Thz7LoZiy9yecj29FCF6Y,HiiswTgDVm2dQEAbjwTBCTcmL4z3uuM3F3ZmdLXsudh7,1.0,0.0,1.0,1773861347,Torrino DAO governance vote:FAVOREVOLE:wallet:8FL9SvhuvntoJJ5uq9uN7NLVU7qmDG2fAtoW1nGVMV7D:timestamp:1773861344537,5nnnLVzU9MutA9zwQBjgXmpMUvciN6vjwA4sdxmBDf99WKbpbzf4mzRHggQtozMpb2tD8iu3xawMPgy8B572urKV
AY29nAYXg97oHgrswqmmsGtDhDHmXMn1NdWLYpy3wcVT,"48RWsysGDFdp5vHzwcU43RNwi87zsYo3iSshmUQnfQ79
35vkTzuSfcwBRNH1t88QkMNkF2nrth5EguvYpxGSwHZt","HTFJ7spfYHD3MFa7oTunu9693odLNb5ycDBE24arZc5v
EgjWuETZ1VqosscxTEz4UCKk5cb1hUFKnwsfLvqB23Qq",2.0,0.0,2.0,1773861348,Torrino DAO governance vote:FAVOREVOLE:wallet:AY29nAYXg97oHgrswqmmsGtDhDHmXMn1NdWLYpy3wcVT:timestamp:1773861333693,5pxVGavnzJcwUwsT4s2BQiPZhg2uBH4VNSHyZ1pCZD9h63zHEKDM2jvuCd6dCrSYypgdcAdLRSp3Y1fotks4dnnm
