proposal_created_by,5feimx18jM2hK2rvZnQHRsjhSeCkHAiLeQZDuJkU2fPc
proposal_created_timestamp,1774209335
proposal_created_iso,2026-03-22T19:55:35.000Z
proposal_created_signed_message,Torrino DAO admin action:start:wallet:5feimx18jM2hK2rvZnQHRsjhSeCkHAiLeQZDuJkU2fPc:payload_hash:c8a5a3d74bad2ab089fcad02d81571983ce7f957ab468150d1b6cf0e0a8514e5:timestamp:1774209328592
proposal_created_signature,Qn3FFR6r53qy68fVQ9paD9wbJExUzTayJeeqGrH3gYHsr2NfK7Tm616XwnmC43vK9UJ7SxVBQc1UJTTbNyb6wB6
proposal_lifecycle_status,Voting in progress
proposal_lifecycle_updated_timestamp,1774226135
proposal_lifecycle_updated_iso,2026-03-23T00:35:35.000Z
voting_start_timestamp,1774209300
voting_start_iso,2026-03-22T19:55:00.000Z
voting_end_timestamp,1774295700
voting_end_iso,2026-03-23T19:55:00.000Z
proposal_reset_by,
proposal_reset_timestamp,
proposal_reset_iso,
proposal_reset_signed_message,
proposal_reset_signature,
proposal_title,MIGLIORAMENTI E NUOVE FUNZIONALITA'
proposal_description,"Quale funzione miglioreresti o aggiungeresti alla piattaforma di voto?

Puoi selezionare una sola opzione."
proposal_options,"Stabilità e connessione wallet | Classifica utenti più attivi nel voto | Notifiche per nuove proposal | Migliorare la grafica | Nessuno, va bene così"
torrino_participation_rate,7.4%
solnauta_participation_rate,6.6%
total_voting_power_participation_rate,7.3%

wallet,solnauta_nfts,torrino_nfts,Stabilità e connessione wallet,Classifica utenti più attivi nel voto,Notifiche per nuove proposal,Migliorare la grafica,"Nessuno, va bene così",voting_power,timestamp,signed_message,signature
7AsjAA6YPKQQmBgdb6CeSgP3cQMVq4TxUszguox7tQXE,H9QB3p21yasGjBxVvRRqfucsRWdc27idAxDypnYesdno,"DZE3WP6u8jmiDBAGtKdStRvrWGkZDzWBVxeU9LsgtG9J
2fvEbUVcQvhiXFN7hFTrRYaXHVcnScuMdTg551hQqKXE",0.0,1.9,0.0,0.0,0.0,1.9,1774211154,Torrino DAO governance vote:proposal:1774209335:option:Classifica utenti più attivi nel voto:wallet:7AsjAA6YPKQQmBgdb6CeSgP3cQMVq4TxUszguox7tQXE:timestamp:1774211151798,3ZsNLUtWn2uYTznrTtasqkn8puRU3PcMwSdH73EuTHoTCQNxvAzwMy5wL2vrvsSduBsHZd2YNaSHKVrTyaNcTHPd
qKkFK4n5AEGk1GG2NXVsxxNT9ntGWMq2EEGNKjQeW7h,8carPoqupwQuXt5gmpaDr3voM6UfiJDy9bBtuQ66UTzJ,7hvGms3rRvoRkbFx5CBnS6VLXSLuzu2VFn4RzW3wpSjm,0.0,0.0,1.0,0.0,0.0,1.0,1774211525,Torrino DAO governance vote:proposal:1774209335:option:Notifiche per nuove proposal:wallet:qKkFK4n5AEGk1GG2NXVsxxNT9ntGWMq2EEGNKjQeW7h:timestamp:1774211514521,5Bu9AoQKnfmTzVayHmPeStbJN7PeGneSXspZF5xgodMxntNEnVSwvD5TvW6ySgF3Jb9ZUHca2wY2Cs18i4yxyjCt
GXerAK7bX5WaeBW7PWqJ7LAqz5ynaZE1YYNgWNXbgkUv,48p8zAM53mxcHgt56nZuD5SerCH8vvZEJqYVuxc2tzLW,,0.0,0.0,0.1,0.0,0.0,0.1,1774211573,Torrino DAO governance vote:proposal:1774209335:option:Notifiche per nuove proposal:wallet:GXerAK7bX5WaeBW7PWqJ7LAqz5ynaZE1YYNgWNXbgkUv:timestamp:1774211570683,5tmqvsypbcQXaHYoWtedeL396Y8H7wB7fy47G6VxCGQw7PKtkPVkWgakYACuHMAQGJijVUAG2hgUfCnu1oV3AYrH
3Djwa3yvVHwMzEXonCzobUqvRx7k9RwKss48ATYTwbVS,CQiHG5cNm47UboTjpp2Kqjvb33GjzDHhvktB9uSuYqy1,"HvXLEuk8zPRS2TEvHBFrmLLGpwEyRyLek3FnNd213wBJ
HJZrafJJDdMV6qVAkgj7FmLAi74PSe5gh9fL9kect3es
CnUkEYfkURizbQa993EoK3Y9K5rk8xSbJyRvHdj14RCf
BMtAKXPxa2Zcp3G8tG45R3nrVo6uW7GemKRJLwiSw4xX
5jqqRAuP6KcrZPji2Tyazk4CiUFktBewfMcHntrsVENQ",0.0,0.0,4.6,0.0,0.0,4.6,1774212142,Torrino DAO governance vote:proposal:1774209335:option:Notifiche per nuove proposal:wallet:3Djwa3yvVHwMzEXonCzobUqvRx7k9RwKss48ATYTwbVS:timestamp:1774212132623,45Mejo5Hw1V6Gtvvf77BqHzj3gwiQ6HVb2sPADWfGKURMStC7fiuqyfacMDGXysJ1uFqszDJ7VKDJQUWSjfoqfaK
CZf96AaiCv1LqygvM6VL2vm9YvRK7uTv5rMpDf2RexBb,,VCWAyRrT1pqmJY3rQZu9o5Wszf6ofWQuWoTs35Yi7Aj,0.0,0.0,0.9,0.0,0.0,0.9,1774212309,Torrino DAO governance vote:proposal:1774209335:option:Notifiche per nuove proposal:wallet:CZf96AaiCv1LqygvM6VL2vm9YvRK7uTv5rMpDf2RexBb:timestamp:1774212305708,QtHbkj4HkCH6yvN7BBmnyXXKa1Z3EV3udNS1fbgJEEByZfqENh3dhTFT719LSdmZM6tXr8gkmABxaVEHaekM75Y
5E2FtamrcpRhxbvAubWiqy4hutTFa7t4BcV7QAXQfUgB,"HPigrUvuyLmfcNSyWBH34a61vFH39Rt9h35wTHpSPqU8
E6cLvw4uVTtq9BCVHvZWTr3mnKchk7HThKXvgmSYj78o
DVc67uCNSYYPoTWqiZYpVFrBdhiqCu88f6K1NGnH8ok3
B7kTjanfzjLWGsU4bhiYo8vPtBtpScYmPQ4iyycep6Xv
AiukP2QieFDnbdsBxNi1ZJicnA1ib8itjWKrv9SoGSAx
91iKTN4ZjfjNLopBtKhXd96HM5F88H3HDbG9dPW2eSUT
4tsMzuCgtAQkq75ELp6YrmgNGT7ZbBLWviEW5ew8Q22x
oNnAw3PgJL5QGLvAAdYnQroYBkrwREaNdNxPLTjxeut",FwkHa96frGywfHBmHjeS6AWGfyajRuYcuB1xZQY1LDqx,1.7,0.0,0.0,0.0,0.0,1.7,1774212439,Torrino DAO governance vote:proposal:1774209335:option:Stabilità e connessione wallet:wallet:5E2FtamrcpRhxbvAubWiqy4hutTFa7t4BcV7QAXQfUgB:timestamp:1774212437168,2M46PVKuFngaD2JFrX4PZQS6MHwH8kA7fKqvnsjEKzHUpHM6U7fc7HCkzruEahVEPbxQ9L7JhQ5DdJu3y7WxuNbk
G3Lr6W2dXExY5bDVBKoNkwZ2RvtoRB7eRyMFimmjBH3K,"H1XSTsRMD9HDLNwUGjLVGexTmQoR2QkpHPTZwZNbdoKV
Gpj816DU1Fn5QdcxEodN6R1EJkJMQPGqC1jS8jHA2tUd
DarYPYNA9GqzDqCAHRg19nFM85Eek7e79GmKbKDz8GNm
DQYS1tzPv8EQU1uv5h8NB9W7a12f68ESMdmK3866norw
D9Fn36w6uaDy3yBkMjsdqtVktVmXe69NC4Z1VaMpK1ni
Bc4R34QvxSGExHQCujLUQiVQ5o4Txg7V8LBFS19uahee
BT9z8dMGZigtDWytc2DbWDP21Fq4ZpTxSwtyn35akmU4
25bSREQQ2AQ6vzTkYq62mHKH7VVGXTg3wLjEtFJ7bWEd","HifPZtsHQvYMb9E49kG7o8E1UeiWdx7R9dFALtBYZPqR
EguSsbfeeyeZCQug5ECwWyt5tQt1sTgrWpGVHJFxpkxy
Ywf1mo4KvGn3SNEzsGnpdBofauKgWkWpjphmJzxiHhn",0.0,0.0,3.5,0.0,0.0,3.5,1774212974,Torrino DAO governance vote:proposal:1774209335:option:Notifiche per nuove proposal:wallet:G3Lr6W2dXExY5bDVBKoNkwZ2RvtoRB7eRyMFimmjBH3K:timestamp:1774212970434,59nSvNQzDLYaTn4T1PgUiacQVYmCJFioKvL3JWduU6tETtVLHktbGY8uomYNCp9doNphoQ9XYbSUHEg1dpewo3ZM
7fyNWpGbkdLgSL4aPBSWvDw5bgGuPitid1mX8TCgNF4S,5uLqQMPc8VktgnkjzXFbbS3wSoaEBhxdBjVqNuUW91TJ,6KBPzSgy3fHKca9XQLqdjcntFvYfkr6LJXCXp3ugmK8t,0.0,1.0,0.0,0.0,0.0,1.0,1774213081,Torrino DAO governance vote:proposal:1774209335:option:Classifica utenti più attivi nel voto:wallet:7fyNWpGbkdLgSL4aPBSWvDw5bgGuPitid1mX8TCgNF4S:timestamp:1774213078222,2ZF3afRxh3MSW7KFe8Sa6bPRkWc11wookJWg5VM5RQBzC5zLhW18dhnchaQwr5UeXXLXoXe76Q1MdLWYsJAyK4VL
GoiiAE4wZXJfBuLbKnLqt422cieF9cpsqWZCu4Z4ry6F,61EKDkuwpyW7F8PFeNJfx7guK5J1sJjS3tc6qQsBjnxm,,0.0,0.1,0.0,0.0,0.0,0.1,1774213312,Torrino DAO governance vote:proposal:1774209335:option:Classifica utenti più attivi nel voto:wallet:GoiiAE4wZXJfBuLbKnLqt422cieF9cpsqWZCu4Z4ry6F:timestamp:1774213309761,43nqiJLGDkeECPz88TUexocWJorpCieXHFgaY2VDEZRKHg8kitDwHNWHdj9g4VMS3UJSoLgK1ajDEFX6fucMkisP
3HnXg3W6gZTKscWmiEV6WiRkTZxHcgAY4LPaA8BN5TMV,E49EW9o1ex7qQDDYB9FJaubVsR1snCGSp1zoxkZwwC8v,3Mf6GMiEfrdwvFefEc5rPWqGgPnQ64eYTNBNdAnt8eHp,0.0,0.0,1.0,0.0,0.0,1.0,1774214058,Torrino DAO governance vote:proposal:1774209335:option:Notifiche per nuove proposal:wallet:3HnXg3W6gZTKscWmiEV6WiRkTZxHcgAY4LPaA8BN5TMV:timestamp:1774214056897,L8kGQNqfYw5k9c5icXGsi2UGtzkC1YJyz1gfR94EBrvucuJF3pPVWixuuj761anf7UbubAF3bW4ssxuk7418w35
HQSQ43je2vLtBKBPFzGZNjVoHYWPSqH8FfhHHdS9j3SW,FUZG49Q391UgozvTZVUeL7NyDdok8KBhZ9cj9kCwY8Fm,BWp4EVWcifHpaDcpdqdwKxXmALMmNMU7ns7YisSNZMcx,0.0,0.0,1.0,0.0,0.0,1.0,1774216594,Torrino DAO governance vote:proposal:1774209335:option:Notifiche per nuove proposal:wallet:HQSQ43je2vLtBKBPFzGZNjVoHYWPSqH8FfhHHdS9j3SW:timestamp:1774216592680,3FviznoRE5L6qkuuwnBW9CxDMm8nr5war6oS6FWMuDc2YWeLAPtrtBm7HQsitAgAbznX46LZvKi7rtb3LLsbYgYK
ABtqYB6rk3DidMQQooo6AyjGpoENae1gF8w4ry49KryV,BgV9eYzjF43HVmttxQdUajw7nXd2Rgjap3fTwKcdmwvV,739qveCj6JYNkmX1vzjkwzDoc5VxBmfpzYAJT28HyXdg,0.0,1.0,0.0,0.0,0.0,1.0,1774217277,Torrino DAO governance vote:proposal:1774209335:option:Classifica utenti più attivi nel voto:wallet:ABtqYB6rk3DidMQQooo6AyjGpoENae1gF8w4ry49KryV:timestamp:1774217274429,35TQhqSHFW2nQ7DUrBYNFqiiZb2xay8CPPmkt41fNS6LjnCguoNvwAXDksP4h8TSx1N8uFH8UQkDbCgxB7nKNVJy
9jKZ2DwhtMJM5EmoZsrs24xzRH9wnNDVco7Txjz8iRBM,GnR8hRagn7LFPC2KEJ69x5vr6kyZRoCUCWEorj9uv3oY,FGHdzMNpysUcBEQjXv8RxEUxG6ajxXuBKaAg9eRqyDHK,0.0,0.0,1.0,0.0,0.0,1.0,1774217514,Torrino DAO governance vote:proposal:1774209335:option:Notifiche per nuove proposal:wallet:9jKZ2DwhtMJM5EmoZsrs24xzRH9wnNDVco7Txjz8iRBM:timestamp:1774217500252,4P4cyyBi8nX6rUMYp8FdVwds7niCogBDVhf4nP2dAzmmmyw8eVQ8NMxtEBBKBfWCTnVeujRzjabrz3GhuUSzoS2c
3jo1iZ2DHy9YtnJjagyyS82gFFomoTBVN3TjfCyUnjvW,5Ss5NZrxDbTMQzDgvk3828SMkZDtLkUiLaaiMhH6khPK,,0.0,0.1,0.0,0.0,0.0,0.1,1774219059,Torrino DAO governance vote:proposal:1774209335:option:Classifica utenti più attivi nel voto:wallet:3jo1iZ2DHy9YtnJjagyyS82gFFomoTBVN3TjfCyUnjvW:timestamp:1774219057817,2r28kjW9Ws1cbmfnJQtEc4aBNUoojypjJ4N74FzWB5xHkz1vvAFQY5YknS1WzJPC4VPEkyjyNAVTARLpaTaAXoxz
EmgnBM8CvXiBJ4PEqqddm5Ps8wXJ373NsEWGMHxhvdw7,"GSTDLfizhTGAN3yXtXowgeMSqLuVmhTf8ZymCwGccN1s
6Y4SSJH774XQQFMiYYMR6Mw9A1nsgAoC1QD1AdxSuiqM
58MZi6afod4NpP6x1amYG7uf4eFxKLujZNNjHU76KEQW",DZ2hCMdrjWF5ayMEWLMUBzXzyBGmKBve7BXJWaun4R57,0.0,1.2,0.0,0.0,0.0,1.2,1774219082,Torrino DAO governance vote:proposal:1774209335:option:Classifica utenti più attivi nel voto:wallet:EmgnBM8CvXiBJ4PEqqddm5Ps8wXJ373NsEWGMHxhvdw7:timestamp:1774219079600,2vF1LQLZtqrrJeqNU25dRYhbFK9CwJy6tMh8UfWtE1fdX3Pe8hZKdMoT5Z2drfdJk3cyUaegCv73WfN6DddWTxyx
