proposal_created_by,5feimx18jM2hK2rvZnQHRsjhSeCkHAiLeQZDuJkU2fPc
proposal_created_timestamp,1774181286
proposal_created_iso,2026-03-22T12:08:06.000Z
proposal_created_signed_message,Torrino DAO admin action:start:wallet:5feimx18jM2hK2rvZnQHRsjhSeCkHAiLeQZDuJkU2fPc:payload_hash:2a2b58241302cbca5bbdd5bb6dfcab4d4e5b10ec8a34017cc8c93584865e4812:timestamp:1774181284543
proposal_created_signature,3t7co8qFP1N5WwBD9QAAb9Ywm2B3p8dw8xXde1zy7RqrK7L37px5CLfRYMVWRqTPvXVeWZ5TuSsUP7ZxH4thnjJc
proposal_lifecycle_status,Voting in progress
proposal_lifecycle_updated_timestamp,1774182486
proposal_lifecycle_updated_iso,2026-03-22T12:28:06.000Z
voting_start_timestamp,1774181220
voting_start_iso,2026-03-22T12:07:00.000Z
voting_end_timestamp,1774188420
voting_end_iso,2026-03-22T14:07:00.000Z
proposal_reset_by,
proposal_reset_timestamp,
proposal_reset_iso,
proposal_reset_signed_message,
proposal_reset_signature,
proposal_title,Votazione di test
proposal_description,Seleziona un opzione a piacere
proposal_options,A | B | C
torrino_participation_rate,0.0%
solnauta_participation_rate,0.1%
total_voting_power_participation_rate,0.0%

wallet,solnauta_nfts,torrino_nfts,A,B,C,voting_power,timestamp,signed_message,signature
7QhxEMfvPeGdiKNzduaXWW8e81NKagFMQrfYJtejmMb6,9taRMkivY3URdyqPwBa2AfEsPt5vvhNqMdBundPSAA7m,,0.1,0.0,0.0,0.1,1774181325,Torrino DAO governance vote:A:wallet:7QhxEMfvPeGdiKNzduaXWW8e81NKagFMQrfYJtejmMb6:timestamp:1774181321260,euWgCEPo4AzzP6SfHV5XyTw3YWNSwWr3scsUBoncX6tAj4PgYyCepTiuEhSPizXL1t9kXPf8xWodEjr5JJ4xfzR
