proposal_created_by,5feimx18jM2hK2rvZnQHRsjhSeCkHAiLeQZDuJkU2fPc
proposal_created_timestamp,1773358418
proposal_title,test solana
proposal_question,test solana buy
options,10|20|1000

wallet,solnauta_nfts,torrino_nfts,10,20,1000,voting_power,timestamp,signature
Bjojs5bKn5B6q8CK1XfmkRp4eyJUodDsJ6QrDbFWA6E4,Solnauta #852|Solnauta #754|Solnauta #727,#262|#244|#397,0.0,0.0,3.0,3.0,1773358518,54mpFFxzE4tetzYnnyvvfMp1ArwR3bTPQLPxyzyf22mDoMFuvnjomGofKpie2Q3VNdEWUZ75sU3BbTD9FUiazacb
85jTBVsk8sDA35LocJdTh41EN2Eep59RQ1jUw9EExsCw,Solnauta #737|Solnauta #738,#373,0.0,1.1,0.0,1.1,1773358529,4naAefCTt5oDjAcKHNqBhTknjAPZ5etnNenMDHyVHpAAJeEVCFMiiiZhJ1ygzWzjgs9dwtBxA3qoEDHzGwwjrDrx
