wallet,solnauta_nfts,torrino_nfts,vote,yes_power,no_power,timestamp,signature
Bjojs5bKn5B6q8CK1XfmkRp4eyJUodDsJ6QrDbFWA6E4,Solnauta #852|Solnauta #754|Solnauta #727,#262|#244|#397,yes,3.0,0.0,1773271213,4TfQ27tzWsNSmAVdbGznL7sviUQJ2UazzF3P3uwA7LU7JB1uykd9XvXi8bXMq4y3pHyfv5haMag6VGM6uWNtooNE
85jTBVsk8sDA35LocJdTh41EN2Eep59RQ1jUw9EExsCw,Solnauta #737|Solnauta #738,#373,no,0.0,1.1,1773271228,nLkyZrcSFCXHU9TwQ9LybFA9fV9WLkQKDii3FWSp8Szrpaw9Aae3X6gZChTD5EW1tJkHwqqUF1qB4qWBx8KKFmA
