proposal_created_by,proposal_created_timestamp,proposal_created_iso,voting_start_timestamp,voting_start_iso,voting_end_timestamp,voting_end_iso,proposal_lifecycle_status,proposal_lifecycle_timestamp,proposal_lifecycle_iso,proposal_title,proposal_question,options
5feimx18jM2hK2rvZnQHRsjhSeCkHAiLeQZDuJkU2fPc,1773398548,2026-03-13T10:42:28.000Z,1773398520,2026-03-13T10:42:00.000Z,1773399360,2026-03-13T10:56:00.000Z,reset_by_admin,1773399117,2026-03-13T10:51:57.000Z,test piattaforma,test,si|no

wallet,solnauta_nfts,torrino_nfts,si,no,voting_power,timestamp,signature
Bjojs5bKn5B6q8CK1XfmkRp4eyJUodDsJ6QrDbFWA6E4,Solnauta #852|Solnauta #754|Solnauta #727,#262|#244|#397,3.0,0.0,3.0,1773398719,3QgR6MNRcikTYEtPJjQTaQioBfHFR2kcL2QdPADUtg4TpwosjyAY64wKGoqee3GX3wYCXbGtbZRa2ciJXF6BZcNL
85jTBVsk8sDA35LocJdTh41EN2Eep59RQ1jUw9EExsCw,Solnauta #737|Solnauta #738,#373,0.0,1.1,1.1,1773398744,627dJ7qXjt5CxysZPVUS6RdWRFBW7SBX5ybp4hFBRNuzPgFmL2zdtw7D72wGSCqZzz6bZqdXejAbZc1LMcDwKxXK
